Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
5.562813343,5.562810661,5.433287511,5.456033977,12019999.9905,310.634186958
5.557156647,5.557155987,5.433250526,5.454552906,1999999.99999,310.9503852
5.55838352,5.558381746,5.43284916,5.455908431,425925.925763,310.881750743
5.559469792,5.559468349,5.433377297,5.456845274,126543.209842,310.821007155
5.560029162,5.56002745,5.43336254,5.457435331,51826.1316899,310.789736825
5.560169438,5.560167697,5.433549657,5.457623567,26702.1351013,310.781895996
5.558964617,5.558963541,5.433153419,5.456336323,15893.9988852,310.849253243
5.558951853,5.5589503,5.433334022,5.456403342,10378.2429891,310.849966989
5.558862453,5.558861148,5.433168077,5.456379074,7222.26330259,310.854966211
5.559677629,5.559675876,5.433753947,5.457064343,5266.18987024,310.809387758
