Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
2.95152901,2.951263417,2.851136636,2.862379772,12019999.9905,585.459263367
2.948002203,2.947991714,2.849674335,2.861487105,1999999.99999,586.159670519
2.947444886,2.947440193,2.849290811,2.861020052,425925.925796,586.270504398
2.948416839,2.94841231,2.849860604,2.861801223,126543.209849,586.077238857
2.948326685,2.948320518,2.852151144,2.861730527,51826.1316872,586.09515994
2.948336076,2.948331072,2.850707639,2.8618158400000002,26702.1350985,586.093293118
2.947396952,2.947391924,2.849741419,2.86097019,15893.9988845,586.280039011
2.949472012,2.949466563,2.851671119,2.86292506,10378.2429902,585.867569846
2.949091794,2.949086603,2.8512891,2.862636447,7222.26330355,585.943104082
2.949624461,2.949619443,2.852447114,2.863099437,5266.1898701,585.837289746
