Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
0.52765278,0.527366833,0.473870709,0.494771257,12019999.9904,3274.88087905
0.519080084,0.519073964,0.473416075,0.494555651,2000000,3328.96609457
0.51902868,0.519025267,0.473617979,0.494503904,425925.925798,3329.29579152
0.519071529,0.519067849,0.47407265,0.494731165,126543.209841,3329.02096042
0.519982711,0.519970078,0.473851317,0.495362972,51826.1316875,3323.18741267
0.520089775,0.520074855,0.473842637,0.495062974,26702.1350991,3322.50331205
0.519080495,0.519055645,0.473834702,0.494325989,15893.9988846,3328.96345874
0.519149524,0.519118853,0.474152053,0.494508958,10378.2429903,3328.5208213
0.519852631,0.519515893,0.474112938,0.494949856,7222.26330344,3324.01895644
0.519521318,0.519512932,0.473797809,0.494911005,5266.18987019,3326.13877454
