Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
5.6340641400000004,5.634032315,5.468987824,5.526301289,12019999.9905,306.705773499
5.627942781,5.627942264,5.466157959,5.524726272,1999999.99999,307.039368956
5.627592381,5.627591766,5.465702669,5.524317933,425925.925763,307.058486651
5.630589653,5.630588771,5.467901802,5.52712594,126543.209842,306.895033468
5.627898308,5.627897366,5.466635778,5.524621123,51826.1316899,307.041795255
5.629577894,5.629576931,5.4684049,5.526356075,26702.1351013,306.950189257
5.631441646,5.63144076,5.468583652,5.528088486,15893.9988852,306.848602654
5.631345534,5.631343114,5.468056846,5.528001446,10378.2429891,306.853839738
5.630138436,5.630137989,5.467906,5.526868491,7222.26330259,306.919629001
5.631161926,5.631160719,5.46779612,5.527540127,5266.18987024,306.863844924
