size,procs,mean,sd
10000000,1,11.0288847,0.0610742881198334
20000000,2,11.6282962,0.08315104287152511
40000000,4,12.8961023,0.25982203956898836
80000000,8,14.8113844,0.21059578712373775
160000000,16,19.3054033,1.1602485961495057
320000000,32,27.5904862,1.3294053593115984
