size,threads,mean,sd
10000000,1,5.673268,0.002423114616448192
20000000,2,6.30572,0.11705251869709307
40000000,4,8.266975,0.20925523942730279
80000000,8,10.2673,0.2212020243025717
160000000,16,15.12686,0.29165260994698644
320000000,32,28.78903,1.1098166455670855
