size,procs,mean,sd
10000000,1,11.4807953,0.08786556050397556
20000000,2,12.1375015,0.1195459032443184
40000000,4,13.5601441,0.11306788532308076
80000000,8,15.8195157,0.290478317451693
160000000,16,21.9976516,0.6735939291320852
320000000,32,37.1370077,2.1625034277492197
