Dim,b,r,c,Time
1,800,300,100,0.493436
1,800,300,100,0.495453
1,800,300,100,0.502093
1,800,300,100,0.496163
1,800,300,100,0.497119
1,800,300,100,0.49587
1,800,300,100,0.495161
1,800,300,100,0.510876
1,800,300,100,0.496376
1,800,300,100,0.492267
1,800,300,100,0.495149
1,800,300,100,0.495477
1,800,300,100,0.498812
1,800,300,100,0.494484
1,800,300,100,0.499224
1,800,300,100,0.496664
1,800,300,100,0.496123
1,800,300,100,0.497514
1,800,300,100,0.495798
1,800,300,100,0.496809
1,800,300,100,0.491162
1,800,300,100,0.497199
1,800,300,100,0.495269
1,800,300,100,0.495523
1,800,300,100,0.497021
1,800,300,100,0.582299
1,800,300,100,0.497271
1,800,300,100,0.493866
1,800,300,100,0.498524
1,800,300,100,0.497482
1,800,300,100,0.50002
1,800,300,100,0.491558
1,800,300,100,0.493501
1,800,300,100,0.494229
1,800,300,100,0.495717
1,800,300,100,0.497001
1,800,300,100,0.492977
1,800,300,100,0.512853
1,800,300,100,0.498035
1,800,300,100,0.496415
1,800,300,100,0.4987
1,800,300,100,0.502427
1,800,300,100,0.495638
1,800,300,100,0.496304
1,800,300,100,0.494555
1,800,300,100,0.4945
1,800,300,100,0.496371
1,800,300,100,0.4952
1,800,300,100,0.494379
1,800,300,100,0.494595
1,800,300,100,0.49463
1,800,300,100,0.496164
1,800,300,100,0.497201
1,800,300,100,0.495179
1,800,300,100,0.494533
1,800,300,100,0.494325
1,800,300,100,0.517413
1,800,300,100,0.501713
1,800,300,100,0.494137
1,800,300,100,0.495127
1,800,300,100,0.493012
1,800,300,100,0.492276
1,800,300,100,0.495444
1,800,300,100,0.494428
1,800,300,100,0.497711
1,800,300,100,0.495079
1,800,300,100,0.492374
1,800,300,100,0.496047
1,800,300,100,0.494268
1,800,300,100,0.494796
1,800,300,100,0.495107
1,800,300,100,0.499409
1,800,300,100,0.509705
1,800,300,100,0.507551
1,800,300,100,0.497691
1,800,300,100,0.499852
1,800,300,100,0.50289
1,800,300,100,0.491802
1,800,300,100,0.494655
1,800,300,100,0.511718
1,800,300,100,0.495043
1,800,300,100,0.496714
1,800,300,100,0.496295
1,800,300,100,0.507209
1,800,300,100,0.495929
1,800,300,100,0.49589
1,800,300,100,0.512681
1,800,300,100,0.498574
1,800,300,100,0.496162
1,800,300,100,0.497144
1,800,300,100,0.49666
1,800,300,100,0.496329
1,800,300,100,0.496523
1,800,300,100,0.496798
1,800,300,100,0.495169
1,800,300,100,0.499502
1,800,300,100,0.494288
1,800,300,100,0.495668
1,800,300,100,0.499385
1,800,300,100,0.493226
2,800,300,100,0.498117
2,800,300,100,0.492776
2,800,300,100,0.495259
2,800,300,100,0.494708
2,800,300,100,0.494129
2,800,300,100,0.497676
2,800,300,100,0.497988
2,800,300,100,0.500155
2,800,300,100,0.500778
2,800,300,100,0.497926
2,800,300,100,0.50488
2,800,300,100,0.500576
2,800,300,100,0.500135
2,800,300,100,0.495421
2,800,300,100,0.499422
2,800,300,100,0.499397
2,800,300,100,0.539112
2,800,300,100,0.500251
2,800,300,100,0.491067
2,800,300,100,0.579946
2,800,300,100,0.492001
2,800,300,100,0.500035
2,800,300,100,0.49409
2,800,300,100,0.493788
2,800,300,100,0.510356
2,800,300,100,0.494597
2,800,300,100,0.499853
2,800,300,100,0.505174
2,800,300,100,0.494373
2,800,300,100,0.495979
2,800,300,100,0.501937
2,800,300,100,0.494074
2,800,300,100,0.496996
2,800,300,100,0.495337
2,800,300,100,0.49579
2,800,300,100,0.494476
2,800,300,100,0.506909
2,800,300,100,0.49971
2,800,300,100,0.495892
2,800,300,100,0.49316
2,800,300,100,0.496852
2,800,300,100,0.496209
2,800,300,100,0.501821
2,800,300,100,0.494236
2,800,300,100,0.500743
2,800,300,100,0.501515
2,800,300,100,0.49867
2,800,300,100,0.494307
2,800,300,100,0.499473
2,800,300,100,0.497665
2,800,300,100,0.500229
2,800,300,100,0.515352
2,800,300,100,0.496563
2,800,300,100,0.494262
2,800,300,100,0.500448
2,800,300,100,0.497592
2,800,300,100,0.495184
2,800,300,100,0.500381
2,800,300,100,0.494991
2,800,300,100,0.496066
2,800,300,100,0.498565
2,800,300,100,0.508244
2,800,300,100,0.495308
2,800,300,100,0.498949
2,800,300,100,0.495195
2,800,300,100,0.494718
2,800,300,100,0.497659
2,800,300,100,0.492291
2,800,300,100,0.500179
2,800,300,100,0.502609
2,800,300,100,0.498292
2,800,300,100,0.495131
2,800,300,100,0.496534
2,800,300,100,0.493893
2,800,300,100,0.500399
2,800,300,100,0.503338
