Dim,b,r,c,Time
1,2400,100,100,0.491251
1,2400,100,100,0.492209
1,2400,100,100,0.493384
1,2400,100,100,0.495644
1,2400,100,100,0.491973
1,2400,100,100,0.493833
1,2400,100,100,0.543443
1,2400,100,100,0.488787
1,2400,100,100,0.490525
1,2400,100,100,0.488861
1,2400,100,100,0.4927
1,2400,100,100,0.492035
1,2400,100,100,0.492308
1,2400,100,100,0.494071
1,2400,100,100,0.491721
1,2400,100,100,0.496634
1,2400,100,100,0.486955
1,2400,100,100,0.491664
1,2400,100,100,0.49331
1,2400,100,100,0.492565
1,2400,100,100,0.490416
1,2400,100,100,0.495719
1,2400,100,100,0.496235
1,2400,100,100,0.490958
1,2400,100,100,0.491123
1,2400,100,100,0.496589
1,2400,100,100,0.556168
1,2400,100,100,0.492759
1,2400,100,100,0.49211
1,2400,100,100,0.493772
1,2400,100,100,0.493219
1,2400,100,100,0.493133
1,2400,100,100,0.489999
1,2400,100,100,0.493603
1,2400,100,100,0.505159
1,2400,100,100,0.492867
1,2400,100,100,0.491744
1,2400,100,100,0.491582
1,2400,100,100,0.491481
1,2400,100,100,0.489985
1,2400,100,100,0.494515
1,2400,100,100,0.501871
1,2400,100,100,0.496738
1,2400,100,100,0.50537
1,2400,100,100,0.491779
1,2400,100,100,0.492364
1,2400,100,100,0.492163
1,2400,100,100,0.490958
1,2400,100,100,0.494523
1,2400,100,100,0.509033
1,2400,100,100,0.493418
1,2400,100,100,0.487906
1,2400,100,100,0.489062
1,2400,100,100,0.494036
1,2400,100,100,0.496281
1,2400,100,100,0.510117
1,2400,100,100,0.492601
1,2400,100,100,0.491811
1,2400,100,100,0.505077
1,2400,100,100,0.493111
1,2400,100,100,0.49096
1,2400,100,100,0.506924
1,2400,100,100,0.547516
1,2400,100,100,0.490031
1,2400,100,100,0.497011
1,2400,100,100,0.492108
1,2400,100,100,0.491829
1,2400,100,100,0.505101
1,2400,100,100,0.489327
1,2400,100,100,0.493978
1,2400,100,100,0.496427
1,2400,100,100,0.489646
1,2400,100,100,0.492547
1,2400,100,100,0.492873
1,2400,100,100,0.494738
1,2400,100,100,0.491869
1,2400,100,100,0.495279
1,2400,100,100,0.493916
1,2400,100,100,0.506893
1,2400,100,100,0.499323
1,2400,100,100,0.490701
1,2400,100,100,0.493831
1,2400,100,100,0.491461
1,2400,100,100,0.490671
1,2400,100,100,0.492008
1,2400,100,100,0.506749
1,2400,100,100,0.495924
1,2400,100,100,0.491708
1,2400,100,100,0.491295
1,2400,100,100,0.493075
1,2400,100,100,0.488884
1,2400,100,100,0.493234
1,2400,100,100,0.490732
1,2400,100,100,0.491523
1,2400,100,100,0.492898
1,2400,100,100,0.492893
1,2400,100,100,0.490017
1,2400,100,100,0.489676
1,2400,100,100,0.547187
1,2400,100,100,0.492931
2,2400,100,100,0.49237
2,2400,100,100,0.491929
2,2400,100,100,0.506029
2,2400,100,100,0.489073
2,2400,100,100,0.496444
2,2400,100,100,0.493168
2,2400,100,100,0.493144
2,2400,100,100,0.497498
2,2400,100,100,0.491043
2,2400,100,100,0.495316
2,2400,100,100,0.497032
2,2400,100,100,0.489901
2,2400,100,100,0.493316
2,2400,100,100,0.542674
2,2400,100,100,0.496246
2,2400,100,100,0.494136
2,2400,100,100,0.495474
2,2400,100,100,0.497656
2,2400,100,100,0.489208
2,2400,100,100,0.495678
2,2400,100,100,0.499421
2,2400,100,100,0.494011
2,2400,100,100,0.492831
2,2400,100,100,0.494606
2,2400,100,100,0.499642
2,2400,100,100,0.493019
2,2400,100,100,0.496877
2,2400,100,100,0.491488
2,2400,100,100,0.493385
2,2400,100,100,0.504852
2,2400,100,100,0.4907
2,2400,100,100,0.496182
2,2400,100,100,0.546639
2,2400,100,100,0.490657
2,2400,100,100,0.49169
2,2400,100,100,0.492123
2,2400,100,100,0.495134
2,2400,100,100,0.491859
2,2400,100,100,0.493647
2,2400,100,100,0.490496
2,2400,100,100,0.490842
2,2400,100,100,0.48808
2,2400,100,100,0.4976
2,2400,100,100,0.492187
2,2400,100,100,0.490312
