Dim,b,r,c,Time
3,1200,200,100,0.494663
3,1200,200,100,0.495714
3,1200,200,100,0.496773
3,1200,200,100,0.501695
3,1200,200,100,0.496605
3,1200,200,100,0.500284
3,1200,200,100,0.501215
3,1200,200,100,0.535995
3,1200,200,100,0.49757
3,1200,200,100,0.496663
3,1200,200,100,0.496502
3,1200,200,100,0.492262
3,1200,200,100,0.491454
3,1200,200,100,0.501661
3,1200,200,100,0.49702
3,1200,200,100,0.496337
3,1200,200,100,0.495816
3,1200,200,100,0.507767
3,1200,200,100,0.498465
3,1200,200,100,0.496791
3,1200,200,100,0.494838
3,1200,200,100,0.495534
3,1200,200,100,0.496648
3,1200,200,100,0.496615
3,1200,200,100,0.496344
3,1200,200,100,0.495876
3,1200,200,100,0.502022
3,1200,200,100,0.498728
3,1200,200,100,0.496425
3,1200,200,100,0.49597
3,1200,200,100,0.495318
3,1200,200,100,0.496555
3,1200,200,100,0.495325
3,1200,200,100,0.496062
3,1200,200,100,0.494791
3,1200,200,100,0.535844
3,1200,200,100,0.492731
3,1200,200,100,0.497606
3,1200,200,100,0.494472
3,1200,200,100,0.49693
3,1200,200,100,0.493464
3,1200,200,100,0.499384
3,1200,200,100,0.499079
3,1200,200,100,0.496515
3,1200,200,100,0.49665
3,1200,200,100,0.507595
3,1200,200,100,0.493875
3,1200,200,100,0.501491
3,1200,200,100,0.496957
3,1200,200,100,0.495232
3,1200,200,100,0.49822
3,1200,200,100,0.502405
3,1200,200,100,0.505142
3,1200,200,100,0.497449
3,1200,200,100,0.576608
3,1200,200,100,0.549838
3,1200,200,100,0.495097
3,1200,200,100,0.499055
3,1200,200,100,0.496165
3,1200,200,100,0.499308
3,1200,200,100,0.54845
3,1200,200,100,0.501438
3,1200,200,100,0.494173
3,1200,200,100,0.496928
3,1200,200,100,0.504486
3,1200,200,100,0.496833
3,1200,200,100,0.501626
3,1200,200,100,0.496995
3,1200,200,100,0.49542
3,1200,200,100,0.4963
3,1200,200,100,0.554742
3,1200,200,100,0.494945
3,1200,200,100,0.496828
