Dim,b,r,c,Time
1,2400,100,100,0.54135
1,2400,100,100,0.505045
1,2400,100,100,0.497517
1,2400,100,100,0.496654
1,2400,100,100,0.496076
1,2400,100,100,0.497856
1,2400,100,100,0.498274
1,2400,100,100,0.501781
1,2400,100,100,0.49842
1,2400,100,100,0.583629
1,2400,100,100,0.497022
1,2400,100,100,0.499888
1,2400,100,100,0.49751
1,2400,100,100,0.49574
1,2400,100,100,0.495267
1,2400,100,100,0.500093
1,2400,100,100,0.504209
1,2400,100,100,0.493804
1,2400,100,100,0.493729
1,2400,100,100,0.500463
1,2400,100,100,0.496213
1,2400,100,100,0.497376
1,2400,100,100,0.532693
1,2400,100,100,0.49541
1,2400,100,100,0.498478
1,2400,100,100,0.517177
1,2400,100,100,0.495887
1,2400,100,100,0.498214
1,2400,100,100,0.501737
1,2400,100,100,0.501147
1,2400,100,100,0.50033
1,2400,100,100,0.499029
1,2400,100,100,0.499529
1,2400,100,100,0.496659
1,2400,100,100,0.495879
1,2400,100,100,0.494874
1,2400,100,100,0.50122
1,2400,100,100,0.501244
1,2400,100,100,0.503045
1,2400,100,100,0.501012
1,2400,100,100,0.49752999999999997
1,2400,100,100,0.494755
1,2400,100,100,0.497822
1,2400,100,100,0.498001
1,2400,100,100,0.500339
1,2400,100,100,0.494937
1,2400,100,100,0.501708
1,2400,100,100,0.49677
1,2400,100,100,0.495659
1,2400,100,100,0.497451
1,2400,100,100,0.50151
1,2400,100,100,0.496181
1,2400,100,100,0.49588
1,2400,100,100,0.500877
1,2400,100,100,0.494819
1,2400,100,100,0.495747
1,2400,100,100,0.496791
1,2400,100,100,0.492236
1,2400,100,100,0.499339
1,2400,100,100,0.494924
1,2400,100,100,0.496969
1,2400,100,100,0.500846
1,2400,100,100,0.497965
1,2400,100,100,0.496539
1,2400,100,100,0.50069
1,2400,100,100,0.494241
1,2400,100,100,0.499973
1,2400,100,100,0.495527
1,2400,100,100,0.501342
1,2400,100,100,0.500062
1,2400,100,100,0.497852
1,2400,100,100,0.49651
1,2400,100,100,0.495929
1,2400,100,100,0.497248
1,2400,100,100,0.495155
1,2400,100,100,0.496886
1,2400,100,100,0.510968
1,2400,100,100,0.499833
1,2400,100,100,0.496856
1,2400,100,100,0.516555
1,2400,100,100,0.498779
1,2400,100,100,0.499035
1,2400,100,100,0.50935
1,2400,100,100,0.584634
1,2400,100,100,0.497406
1,2400,100,100,0.501016
1,2400,100,100,0.497431
1,2400,100,100,0.495379
1,2400,100,100,0.49875
1,2400,100,100,0.500594
1,2400,100,100,0.497135
1,2400,100,100,0.496264
1,2400,100,100,0.503132
1,2400,100,100,0.501046
1,2400,100,100,0.497009
1,2400,100,100,0.550068
1,2400,100,100,0.500923
1,2400,100,100,0.497913
1,2400,100,100,0.502201
1,2400,100,100,0.493786
2,2400,100,100,0.498367
2,2400,100,100,0.497596
2,2400,100,100,0.499838
2,2400,100,100,0.496052
2,2400,100,100,0.498028
2,2400,100,100,0.508916
2,2400,100,100,0.495693
2,2400,100,100,0.496378
2,2400,100,100,0.513041
2,2400,100,100,0.493251
2,2400,100,100,0.496387
2,2400,100,100,0.493794
2,2400,100,100,0.49527
2,2400,100,100,0.498113
2,2400,100,100,0.496404
2,2400,100,100,0.495156
2,2400,100,100,0.494059
2,2400,100,100,0.496817
2,2400,100,100,0.497317
2,2400,100,100,0.495585
2,2400,100,100,0.49627
2,2400,100,100,0.498376
2,2400,100,100,0.493992
2,2400,100,100,0.498886
2,2400,100,100,0.497675
2,2400,100,100,0.496648
2,2400,100,100,0.49788
2,2400,100,100,0.495078
2,2400,100,100,0.501992
2,2400,100,100,0.500104
2,2400,100,100,0.498258
2,2400,100,100,0.50146
2,2400,100,100,0.500506
2,2400,100,100,0.495506
2,2400,100,100,0.503167
2,2400,100,100,0.498201
2,2400,100,100,0.499315
2,2400,100,100,0.493863
2,2400,100,100,0.495413
2,2400,100,100,0.496876
2,2400,100,100,0.498432
2,2400,100,100,0.501651
2,2400,100,100,0.499124
2,2400,100,100,0.502048
2,2400,100,100,0.49623
2,2400,100,100,0.495909
2,2400,100,100,0.495852
2,2400,100,100,0.501454
2,2400,100,100,0.491786
2,2400,100,100,0.509376
2,2400,100,100,0.495268
2,2400,100,100,0.500733
2,2400,100,100,0.498598
2,2400,100,100,0.497945
2,2400,100,100,0.500885
2,2400,100,100,0.496082
2,2400,100,100,0.500137
2,2400,100,100,0.497906
2,2400,100,100,0.496024
2,2400,100,100,0.498472
2,2400,100,100,0.497199
2,2400,100,100,0.49406
2,2400,100,100,0.494281
2,2400,100,100,0.49681
2,2400,100,100,0.503319
2,2400,100,100,0.496532
2,2400,100,100,0.497096
2,2400,100,100,0.497514
2,2400,100,100,0.494697
2,2400,100,100,0.496524
2,2400,100,100,0.502048
2,2400,100,100,0.494442
2,2400,100,100,0.494242
2,2400,100,100,0.495937
2,2400,100,100,0.494788
2,2400,100,100,0.493046
2,2400,100,100,0.495991
2,2400,100,100,0.500267
2,2400,100,100,0.501142
2,2400,100,100,0.504531
2,2400,100,100,0.496381
2,2400,100,100,0.494962
2,2400,100,100,0.49667
2,2400,100,100,0.497887
2,2400,100,100,0.500695
2,2400,100,100,0.500933
2,2400,100,100,0.518985
2,2400,100,100,0.492735
2,2400,100,100,0.493547
2,2400,100,100,0.498001
2,2400,100,100,0.496384
2,2400,100,100,0.499316
2,2400,100,100,0.49264
2,2400,100,100,0.494324
2,2400,100,100,0.494566
2,2400,100,100,0.494679
2,2400,100,100,0.501463
2,2400,100,100,0.551622
2,2400,100,100,0.49859
2,2400,100,100,0.499333
3,2400,100,100,0.495858
3,2400,100,100,0.516753
3,2400,100,100,0.49807
3,2400,100,100,0.501089
3,2400,100,100,0.498106
3,2400,100,100,0.497019
3,2400,100,100,0.503099
3,2400,100,100,0.498751
3,2400,100,100,0.498845
3,2400,100,100,0.496006
3,2400,100,100,0.517109
3,2400,100,100,0.498624
3,2400,100,100,0.495248
3,2400,100,100,0.508422
3,2400,100,100,0.507513
3,2400,100,100,0.499293
3,2400,100,100,0.494753
3,2400,100,100,0.501849
3,2400,100,100,0.501036
3,2400,100,100,0.496178
3,2400,100,100,0.498383
3,2400,100,100,0.499337
3,2400,100,100,0.495715
3,2400,100,100,0.498609
3,2400,100,100,0.500291
3,2400,100,100,0.500717
3,2400,100,100,0.501079
3,2400,100,100,0.493047
3,2400,100,100,0.496685
3,2400,100,100,0.521355
3,2400,100,100,0.494827
3,2400,100,100,0.49648
3,2400,100,100,0.499145
3,2400,100,100,0.497297
3,2400,100,100,0.495604
3,2400,100,100,0.498483
3,2400,100,100,0.501434
3,2400,100,100,0.496909
3,2400,100,100,0.501302
3,2400,100,100,0.505939
3,2400,100,100,0.497376
3,2400,100,100,0.49567
