Dim,b,r,c,Time
1,1200,200,100,0.49457
1,1200,200,100,0.515924
1,1200,200,100,0.491943
1,1200,200,100,0.49671
1,1200,200,100,0.491879
1,1200,200,100,0.490874
1,1200,200,100,0.492512
1,1200,200,100,0.495541
1,1200,200,100,0.493613
1,1200,200,100,0.491265
1,1200,200,100,0.491681
1,1200,200,100,0.491885
1,1200,200,100,0.495146
1,1200,200,100,0.493532
1,1200,200,100,0.49264
1,1200,200,100,0.48887
1,1200,200,100,0.490948
1,1200,200,100,0.50208
1,1200,200,100,0.504857
1,1200,200,100,0.493415
1,1200,200,100,0.582401
1,1200,200,100,0.490549
1,1200,200,100,0.541981
1,1200,200,100,0.491285
1,1200,200,100,0.496148
1,1200,200,100,0.491834
1,1200,200,100,0.492284
1,1200,200,100,0.493126
1,1200,200,100,0.497586
1,1200,200,100,0.491787
1,1200,200,100,0.491763
1,1200,200,100,0.48977
1,1200,200,100,0.49596
1,1200,200,100,0.49575
1,1200,200,100,0.492707
1,1200,200,100,0.494938
1,1200,200,100,0.491538
1,1200,200,100,0.517441
1,1200,200,100,0.491432
1,1200,200,100,0.492483
1,1200,200,100,0.491534
1,1200,200,100,0.492846
1,1200,200,100,0.488378
1,1200,200,100,0.495238
1,1200,200,100,0.492193
1,1200,200,100,0.488636
1,1200,200,100,0.55075
1,1200,200,100,0.492138
1,1200,200,100,0.51075
1,1200,200,100,0.491935
1,1200,200,100,0.488136
1,1200,200,100,0.543518
1,1200,200,100,0.495084
1,1200,200,100,0.491606
1,1200,200,100,0.489113
1,1200,200,100,0.495814
1,1200,200,100,0.501196
1,1200,200,100,0.496309
1,1200,200,100,0.503054
1,1200,200,100,0.494322
1,1200,200,100,0.490475
1,1200,200,100,0.489316
1,1200,200,100,0.489859
1,1200,200,100,0.495101
1,1200,200,100,0.495092
1,1200,200,100,0.49522
1,1200,200,100,0.491778
1,1200,200,100,0.49338
1,1200,200,100,0.502498
1,1200,200,100,0.491405
1,1200,200,100,0.49071
1,1200,200,100,0.497343
