Dim,b,r,c,Time
3,800,300,100,0.5777
3,800,300,100,0.496255
3,800,300,100,0.490083
3,800,300,100,0.491801
3,800,300,100,0.495749
3,800,300,100,0.490063
3,800,300,100,0.491223
3,800,300,100,0.504462
3,800,300,100,0.49179
3,800,300,100,0.490823
3,800,300,100,0.494982
3,800,300,100,0.496207
3,800,300,100,0.493212
3,800,300,100,0.48942
3,800,300,100,0.494864
3,800,300,100,0.529598
3,800,300,100,0.511525
3,800,300,100,0.4895
3,800,300,100,0.491639
3,800,300,100,0.489119
3,800,300,100,0.490581
3,800,300,100,0.54157
3,800,300,100,0.494557
3,800,300,100,0.494957
3,800,300,100,0.489981
3,800,300,100,0.494031
3,800,300,100,0.492001
3,800,300,100,0.492384
3,800,300,100,0.489019
3,800,300,100,0.493777
3,800,300,100,0.494979
3,800,300,100,0.503783
3,800,300,100,0.492695
3,800,300,100,0.488636
3,800,300,100,0.491164
3,800,300,100,0.490765
3,800,300,100,0.495874
3,800,300,100,0.488097
3,800,300,100,0.495281
3,800,300,100,0.501952
3,800,300,100,0.496122
3,800,300,100,0.490518
3,800,300,100,0.488242
3,800,300,100,0.490131
3,800,300,100,0.495615
3,800,300,100,0.497751
3,800,300,100,0.494074
3,800,300,100,0.490883
3,800,300,100,0.488363
3,800,300,100,0.501854
3,800,300,100,0.489934
3,800,300,100,0.490882
3,800,300,100,0.492857
3,800,300,100,0.493728
3,800,300,100,0.493504
