b,r,c,Time
2400,100,100,0.489401
2400,100,100,0.489702
2400,100,100,0.489686
2400,100,100,0.489635
2400,100,100,0.489543
2400,100,100,0.489486
2400,100,100,0.489716
2400,100,100,0.523733
2400,100,100,0.488943
2400,100,100,0.489468
2400,100,100,0.489275
2400,100,100,0.489572
2400,100,100,0.489367
2400,100,100,0.518197
2400,100,100,0.489466
2400,100,100,0.489555
2400,100,100,0.489697
2400,100,100,0.489968
2400,100,100,0.48975
2400,100,100,0.489638
2400,100,100,0.489594
2400,100,100,0.489511
2400,100,100,0.489424
2400,100,100,0.489649
2400,100,100,0.489529
2400,100,100,0.489212
2400,100,100,0.489432
2400,100,100,0.4896
2400,100,100,0.54745
2400,100,100,0.489326
2400,100,100,0.48957
2400,100,100,0.48959
2400,100,100,0.489497
2400,100,100,0.489387
2400,100,100,0.489445
2400,100,100,0.489266
2400,100,100,0.489614
2400,100,100,0.489435
2400,100,100,0.489377
2400,100,100,0.489499
2400,100,100,0.489484
2400,100,100,0.489586
2400,100,100,0.489678
2400,100,100,0.488171
2400,100,100,0.489538
2400,100,100,0.489435
2400,100,100,0.489559
2400,100,100,0.489509
2400,100,100,0.489425
2400,100,100,0.489541
2400,100,100,0.489666
2400,100,100,0.490048
2400,100,100,0.489534
2400,100,100,0.489444
2400,100,100,0.48951
2400,100,100,0.489516
2400,100,100,0.4895
2400,100,100,0.48966
2400,100,100,0.489475
2400,100,100,0.489567
2400,100,100,0.489516
2400,100,100,0.489512
2400,100,100,0.489471
2400,100,100,0.48926
2400,100,100,0.489396
2400,100,100,0.489573
2400,100,100,0.489597
2400,100,100,0.489471
2400,100,100,0.489712
2400,100,100,0.489344
2400,100,100,0.489635
2400,100,100,0.489724
2400,100,100,0.489563
2400,100,100,0.489439
2400,100,100,0.490076
2400,100,100,0.490041
2400,100,100,0.489437
2400,100,100,0.489552
2400,100,100,0.489623
2400,100,100,0.489496
2400,100,100,0.489583
2400,100,100,0.489249
2400,100,100,0.489537
2400,100,100,0.489541
2400,100,100,0.489478
2400,100,100,0.490307
2400,100,100,0.489233
2400,100,100,0.489474
2400,100,100,0.489587
2400,100,100,0.489466
2400,100,100,0.490315
2400,100,100,0.489449
2400,100,100,0.488884
2400,100,100,0.489538
2400,100,100,0.489756
2400,100,100,0.489551
2400,100,100,0.489459
2400,100,100,0.489517
2400,100,100,0.489313
2400,100,100,0.490586
