b,r,c,Time
800,300,100,0.489701
800,300,100,0.489442
800,300,100,0.489565
800,300,100,0.489477
800,300,100,0.489183
800,300,100,0.489542
800,300,100,0.490279
800,300,100,0.489279
800,300,100,0.48958
800,300,100,0.489512
800,300,100,0.489308
800,300,100,0.48992
800,300,100,0.489499
800,300,100,0.489835
800,300,100,0.489607
800,300,100,0.489641
800,300,100,0.489716
800,300,100,0.489233
800,300,100,0.489578
800,300,100,0.489693
800,300,100,0.48963
800,300,100,0.491216
800,300,100,0.489573
800,300,100,0.489578
800,300,100,0.488706
800,300,100,0.489702
800,300,100,0.489734
800,300,100,0.489647
800,300,100,0.4895
800,300,100,0.489556
800,300,100,0.489536
800,300,100,0.48943
800,300,100,0.489628
800,300,100,0.489471
800,300,100,0.489632
800,300,100,0.489439
800,300,100,0.505857
800,300,100,0.489523
800,300,100,0.490394
800,300,100,0.489547
800,300,100,0.489261
800,300,100,0.489488
800,300,100,0.489484
800,300,100,0.489521
800,300,100,0.489512
800,300,100,0.489468
800,300,100,0.48958
800,300,100,0.489535
800,300,100,0.48957
800,300,100,0.489399
800,300,100,0.489446
800,300,100,0.489333
800,300,100,0.489385
800,300,100,0.489341
800,300,100,0.489573
800,300,100,0.489543
800,300,100,0.489427
800,300,100,0.489507
800,300,100,0.489494
800,300,100,0.522948
800,300,100,0.489334
800,300,100,0.490677
800,300,100,0.488413
800,300,100,0.489851
800,300,100,0.489462
800,300,100,0.489918
800,300,100,0.489658
800,300,100,0.505805
800,300,100,0.489424
800,300,100,0.489553
800,300,100,0.490146
800,300,100,0.489565
800,300,100,0.489712
800,300,100,0.4893
800,300,100,0.489425
800,300,100,0.48962
800,300,100,0.489571
800,300,100,0.489629
800,300,100,0.489477
800,300,100,0.550444
800,300,100,0.489567
800,300,100,0.489433
800,300,100,0.489609
800,300,100,0.489577
800,300,100,0.489289
800,300,100,0.489618
800,300,100,0.489468
800,300,100,0.489465
800,300,100,0.489913
800,300,100,0.489542
800,300,100,0.488715
800,300,100,0.489546
800,300,100,0.489512
800,300,100,0.505894
800,300,100,0.489789
800,300,100,0.489612
800,300,100,0.489822
800,300,100,0.489544
800,300,100,0.489673
800,300,100,0.490344
