b,r,c,Time
2400,1000,100,4.875759
2400,1000,100,4.872419
2400,1000,100,4.870206
2400,1000,100,4.889865
2400,1000,100,4.870381
2400,1000,100,4.869959
2400,1000,100,4.883272
2400,1000,100,4.871645
2400,1000,100,4.870771
2400,1000,100,4.871774
2400,1000,100,4.872748
2400,1000,100,4.873095
2400,1000,100,4.871751
2400,1000,100,4.872233
2400,1000,100,4.873837
2400,1000,100,4.929064
2400,1000,100,4.872918
2400,1000,100,4.872535
2400,1000,100,4.875778
2400,1000,100,4.872885
2400,1000,100,4.870893
2400,1000,100,4.87339
2400,1000,100,4.873019
2400,1000,100,4.873311
2400,1000,100,4.873496
2400,1000,100,4.872599
2400,1000,100,4.873376
2400,1000,100,4.858954
2400,1000,100,4.87309
2400,1000,100,4.873665
2400,1000,100,4.872218
2400,1000,100,4.872487
2400,1000,100,5.212334
2400,1000,100,4.873822
2400,1000,100,4.872167
2400,1000,100,4.87738
2400,1000,100,4.872721
2400,1000,100,4.873594
2400,1000,100,4.870363
2400,1000,100,4.873533
2400,1000,100,4.873307
2400,1000,100,4.870072
2400,1000,100,4.874016
2400,1000,100,4.872182
2400,1000,100,4.873247
2400,1000,100,4.870652
2400,1000,100,4.874379
2400,1000,100,4.873393
2400,1000,100,4.874712
2400,1000,100,4.873472
2400,1000,100,4.873238
2400,1000,100,4.872116
2400,1000,100,4.876112
2400,1000,100,4.873262
2400,1000,100,4.873146
2400,1000,100,4.873191
2400,1000,100,4.878085
2400,1000,100,4.872405
2400,1000,100,4.872126
2400,1000,100,4.878056
2400,1000,100,4.873169
2400,1000,100,4.870645
2400,1000,100,4.876257
2400,1000,100,4.872314
2400,1000,100,4.873311
2400,1000,100,4.872331
2400,1000,100,4.872485
2400,1000,100,4.870493
2400,1000,100,5.213972
2400,1000,100,4.87436
2400,1000,100,4.873784
2400,1000,100,4.874102
2400,1000,100,4.872087
2400,1000,100,4.860034
2400,1000,100,4.871892
2400,1000,100,4.872864
2400,1000,100,4.872677
2400,1000,100,4.870759
2400,1000,100,4.871963
2400,1000,100,4.873383
2400,1000,100,4.87959
2400,1000,100,4.873597
2400,1000,100,4.87331
2400,1000,100,4.871767
2400,1000,100,4.854729
2400,1000,100,4.870081
2400,1000,100,4.878267
2400,1000,100,4.87297
2400,1000,100,4.872947
2400,1000,100,4.87354
2400,1000,100,4.87245
2400,1000,100,5.716842
2400,1000,100,4.877496
2400,1000,100,4.872582
2400,1000,100,4.86988
2400,1000,100,4.887015
2400,1000,100,4.8725
2400,1000,100,4.87266
2400,1000,100,4.87301
2400,1000,100,4.873423
