b,r,c,Time
2400,1000,400,19.491036
2400,1000,400,19.483581
2400,1000,400,19.513503
2400,1000,400,19.482936
2400,1000,400,19.484904
2400,1000,400,19.472562
2400,1000,400,19.480321
2400,1000,400,19.487439
2400,1000,400,19.475512
2400,1000,400,19.486821
2400,1000,400,19.484188
2400,1000,400,19.489171
2400,1000,400,19.485174
2400,1000,400,19.486315
2400,1000,400,19.482931
2400,1000,400,19.486387
2400,1000,400,19.474852
2400,1000,400,19.483596
2400,1000,400,19.473142
2400,1000,400,19.480573
2400,1000,400,19.485469
2400,1000,400,19.482931
2400,1000,400,19.489254
2400,1000,400,19.471042
2400,1000,400,19.483408
2400,1000,400,19.48358
2400,1000,400,19.487257
2400,1000,400,19.482295
2400,1000,400,19.481947
2400,1000,400,19.489468
2400,1000,400,19.488658
2400,1000,400,19.480695
2400,1000,400,19.434779
2400,1000,400,19.496655
2400,1000,400,19.509596
2400,1000,400,19.553046
2400,1000,400,19.48279
2400,1000,400,19.483327
2400,1000,400,19.473454
2400,1000,400,19.488105
2400,1000,400,19.48336
2400,1000,400,19.474534
2400,1000,400,19.483365
2400,1000,400,19.484985000000002
2400,1000,400,19.476317
2400,1000,400,19.486051
2400,1000,400,21.800978
2400,1000,400,19.487083
2400,1000,400,19.484146
2400,1000,400,19.482379
2400,1000,400,19.484106
2400,1000,400,19.482678
2400,1000,400,19.487459
2400,1000,400,19.48319
2400,1000,400,19.485038
2400,1000,400,19.487813
2400,1000,400,19.487989
2400,1000,400,19.485778
2400,1000,400,19.485233
2400,1000,400,19.487117
2400,1000,400,19.48741
2400,1000,400,19.511622
2400,1000,400,19.485247
2400,1000,400,19.488087
2400,1000,400,19.485099
2400,1000,400,19.482568
2400,1000,400,19.488128
2400,1000,400,19.479705
2400,1000,400,19.48591
2400,1000,400,19.489106
2400,1000,400,19.473749
2400,1000,400,19.485524
2400,1000,400,19.489137
2400,1000,400,19.438833
2400,1000,400,19.485338
2400,1000,400,19.491028
2400,1000,400,19.473424
2400,1000,400,19.481096
2400,1000,400,19.485001
2400,1000,400,19.48169
2400,1000,400,19.483261
2400,1000,400,19.470936
2400,1000,400,19.483531
2400,1000,400,19.49218
2400,1000,400,19.489956
2400,1000,400,19.512312
2400,1000,400,19.487467
2400,1000,400,19.488236
2400,1000,400,19.490392
2400,1000,400,19.709217
2400,1000,400,19.48679
2400,1000,400,19.477905
2400,1000,400,22.861345
2400,1000,400,19.456532
2400,1000,400,19.490815
2400,1000,400,19.48845
2400,1000,400,19.489836
2400,1000,400,19.489991
2400,1000,400,19.500838
2400,1000,400,19.485216
