Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
1.968264641,1.968262978,1.925451457,1.932026282,7695999.99397,449.500530351
1.965339368,1.965338819,1.925318951,1.931597015,1280000,450.169581094
1.965193708,1.965192872,1.92528822,1.931441416,272592.592507,450.202947627
1.965502188,1.9655015,1.925469019,1.931694332,80987.6543021,450.13228955
1.965452522,1.965451882,1.925238216,1.931641139,33168.7242807,450.143664167
1.965670171,1.965669473,1.925499874,1.931871845,17089.3664635,450.093821971
1.965471396,1.965470599,1.925213089,1.931693993,10172.1592862,450.139341534
1.96553862,1.965538055,1.925401638,1.9317240470000001,6642.07551367,450.123946178
1.965556501,1.965556015,1.925380455,1.931769554,4622.24851414,450.119851324
1.965595701,1.965595246,1.925427192,1.931805895,3370.36151694,450.110874556
