"","N_Procs","MeanT","MeanJ","MLUPs","Est_P","Est_B","Est_P1","Ideal"
"1",1,7.7968691689,7.69663521,113.4732405797,113.473239172592,0,113.473239172592,113.4732405797
"2",4,1.96575811275,1.92854768145,450.0736848352,453.315872732281,1585.13730389485,451.737048971222,453.8929623188
"3",8,1.0009497213,0.9668287203,883.8647544389,906.055761372593,2593.02619518124,903.830530550951,907.7859246376
"4",12,0.6698380146,0.64511137675,1320.696029932,1359.08364205889,3578.23851933426,1357.37415513567,1361.6788869564
"5",4,1.96593347285,1.9286504358,450.0334178903,453.204381587671,1582.08561634214,451.73286233987,453.8929623188
"6",8,0.99956106565,0.96755264315,884.9749752281,905.721753782012,2764.2818267332,904.074424126268,907.7859246376
"7",12,0.66740325815,0.64411668715,1325.631699984,1358.58263067302,3799.73550244293,1357.62411301233,1361.6788869564
"8",12,0.6709315909,0.6464307174,1318.578071651,1360.40872043272,3611.91073713846,1357.41333582808,1361.6788869564
"9",24,0.3379186352,0.32357290985,2617.718920134,2720.81744086544,6169.78914018825,2718.35614401424,2723.3577739128
"10",48,0.1854044976,0.16634016315,4799.439678893,5441.63488173087,4642.23200010597,5433.43005436241,5446.7155478256
