procs,mean,sd
1,117.2609,0.4902644
2,60.3143769,0.4650368528274462
4,33.0581941,0.6608521122765082
8,18.8613687,0.4227235316334748
16,12.3690842,0.5950879283963562
32,8.76495755,0.6161422994876627
