threads,mean,sd
1,64.18272999999999,0.4520952580301335
2,33.993,0.16753190077647162
3,26.28621,0.05856920787505246
4,21.01287,0.6151939550526586
5,18.30548,0.5199513819152284
6,15.69899,0.6125764813020859
7,14.6914,0.3709401808617906
8,13.03617,0.5175526383320294
9,11.74112,0.4772352757754233
10,12.14579,0.09905247150430498
11,11.31385,0.24010747246458902
12,11.556703,0.8486949332036545
13,11.69617,0.27434055093786053
14,10.169622,0.32312966210004435
15,11.15614,0.10231687381202921
16,10.140493,1.2933103337220428
17,9.060556,0.56307845392193
18,11.59501,0.9981276509879219
19,11.62633,0.4816705122107157
20,11.73298,1.1108849953478033
21,10.856798,1.3550720232994586
22,11.141680000000001,1.0349643394822836
23,12.395415,1.49175397920442
24,10.00853,1.382342988206778
25,10.137666,0.6549447531781255
26,12.630980000000001,1.2043923399143837
27,13.07738,0.6023400346426706
28,12.28974,0.9366046731560639
29,12.27267,0.7663450442051399
30,11.58698,0.3491393793633458
31,12.6909,1.1172554974877797
32,11.88242,0.8492143569205601
33,12.61147,0.6479001261339933
34,12.1701,1.0200358120074893
35,12.89703,0.8135645423416361
36,12.50532,0.551111990635499
37,12.94623,0.6354008726780285
38,13.51742,0.8329820336864682
39,12.78233,0.6555693336499369
40,12.4733,0.8862106421287336
41,12.5539,1.142615286670598
42,13.14956,0.7886118805992096
43,13.26508,1.190803734924908
44,13.048680000000001,1.1641581543950308
45,14.38206,0.9678310816804068
46,14.36505,0.8592954106579281
47,12.5079,0.7586025939551981
48,13.50277,1.2674142750322623
