threads,mean,sd
1,62.471759999999996,0.5986400239060377
2,34.471000000000004,0.3089420549768738
3,26.26561,0.32831981511934333
4,21.32348,0.6209812679228836
5,18.71291,0.4449481379267077
6,15.93547,0.45288749903014275
7,14.68223,0.16614050981022044
8,12.81528,0.4609165887422341
9,11.69578,0.3796514155555504
10,12.47348,0.12366006990491711
11,11.60048,0.4062590629416434
12,11.5115,0.6987017087268198
13,11.24929,0.8346572556045584
14,11.10664,0.3592668342920377
15,11.40178,0.4504410845678565
16,11.549520000000001,0.715432021462091
17,10.331885999999999,0.5134694233501693
18,11.39763,0.38355391349268686
19,10.279376,0.43436157529566705
20,10.93585,0.2837241393012273
21,10.802620000000001,0.36687747212871447
22,11.52547,0.6444696925034995
23,10.880241,0.44807723829342916
24,11.090128,0.8006768982526946
25,10.263818,0.2221971669886406
26,10.80134,0.34253438821687815
27,10.480709000000001,0.4298671623355805
28,10.571734,0.3988886149234591
29,10.929912999999999,0.7762697438684285
30,10.63168,0.8145506647907859
31,10.571422,0.6577879883501807
32,10.70868,0.42110868166991966
33,11.403769,0.7468262947291618
34,11.74329,0.5687973129527091
35,11.742469999999999,0.5370008525753631
36,11.42393,0.5959054008630712
37,11.75282,0.4989754743471872
38,12.02245,0.49701545303496913
39,12.00698,0.7428350838360945
40,11.66906,0.7633106345970093
41,11.95307,0.8453219965722462
42,12.157589999999999,0.9530794993656673
43,12.40358,0.9369623694566275
44,12.443060000000001,0.973232009794627
45,13.00536,0.8343368733444674
46,13.70631,0.4576486678907984
47,12.51077,0.9913474702533807
48,12.97842,0.9096853043162171
