procs,mean,sd
1,117.2609,0.4902644
2,60.5667912,0.5796306320650912
4,32.5247592,0.3684591759107724
8,18.8728011,0.7127237795112256
16,12.0899611,0.4194954722606802
32,8.7245518,0.46407880226242415
