threads,mean,sd
1,64.9533,0.6404203133706632
2,34.42983,0.05491043313129852
3,25.79992,0.2639251021702093
4,20.930039999999998,0.6107879686656135
5,18.05622,0.49177912566968957
6,15.304730000000001,0.5899417109624762
7,14.26968,0.395062987383025
8,12.83515,0.48273004245529294
9,11.481,0.3230129581164063
10,11.842179999999999,0.12012531234784234
11,10.98619,0.18271486864024583
12,10.700868999999999,0.7049984896193435
13,10.397321999999999,0.32934918982745354
14,9.972787,0.20326467141526505
15,10.023075,0.4610002542358905
16,9.70412,0.6147807781459808
17,8.864765,0.3120447418863022
18,9.614144,0.6357217647542218
19,9.195143999999999,0.21827977354252906
20,9.455312,0.2935295818444505
21,9.149164,0.16721169464683566
22,9.541536,0.6907328934013979
23,9.354553,0.3539896245827299
24,8.95729,0.44977836309799435
25,8.709150000000001,0.43516886668663857
26,8.761528,0.5032118396814166
27,9.295411,0.27595758319189395
28,8.896683,0.3862954220124509
29,9.374179,0.9129890168433937
30,8.81398,0.6111459394176375
31,8.681424,0.4432219701534062
32,8.871304,0.29344485259679615
33,9.43426,0.2777371749214236
34,9.116473,0.7662810503413365
35,9.646183,0.390415353382352
36,9.232875,0.15513883081865013
37,9.491061,0.4806293094001284
38,9.628461,0.3709945513361498
39,8.582102,0.0865647182170658
40,8.953213,0.3872262419094725
41,9.241314,0.597792754206859
42,9.164854,0.18536421536471864
43,9.232338,0.43706992600472694
44,8.991162000000001,0.7464029941109415
45,9.851303,0.5129036250397232
46,9.850829,0.8157124968659811
47,8.756741,0.2953968576320488
48,9.389859,0.39935531421001236
