procs,mean,sd
1,117.2609,0.4902644
2,60.4880937,0.3991137807699141
4,32.3363693,0.3710552394536577
8,19.0683905,0.52700179049796
16,12.1451478,0.5357193647871576
32,8.5607946,0.5495988409296367
