b,r,c,Time
800,300,100,0.498535
800,300,100,0.493413
800,300,100,0.495415
800,300,100,0.496536
800,300,100,0.490486
800,300,100,0.4885
800,300,100,0.494379
800,300,100,0.549333
800,300,100,0.493298
800,300,100,0.491674
800,300,100,0.49482
800,300,100,0.492561
800,300,100,0.490665
800,300,100,0.488639
800,300,100,0.491322
800,300,100,0.490815
800,300,100,0.5756
800,300,100,0.492666
800,300,100,0.503183
800,300,100,0.4918
800,300,100,0.489085
800,300,100,0.487495
800,300,100,0.489622
800,300,100,0.491312
800,300,100,0.502503
800,300,100,0.494731
800,300,100,0.488725
800,300,100,0.489237
800,300,100,0.492772
800,300,100,0.494662
800,300,100,0.495555
800,300,100,0.491281
800,300,100,0.495175
800,300,100,0.487248
800,300,100,0.491151
800,300,100,0.491177
800,300,100,0.488501
800,300,100,0.494422
800,300,100,0.49006
800,300,100,0.493296
800,300,100,0.496158
800,300,100,0.487546
800,300,100,0.493508
800,300,100,0.496057
800,300,100,0.492617
800,300,100,0.499702
800,300,100,0.49133
800,300,100,0.493474
800,300,100,0.5017
800,300,100,0.495358
800,300,100,0.489962
800,300,100,0.506807
800,300,100,0.494518
800,300,100,0.490024
800,300,100,0.492908
800,300,100,0.51256
800,300,100,0.490421
800,300,100,0.491757
800,300,100,0.494606
800,300,100,0.51607
800,300,100,0.489624
800,300,100,0.489952
800,300,100,0.493473
800,300,100,0.498143
800,300,100,0.49396
800,300,100,0.487744
800,300,100,0.49736
800,300,100,0.493265
800,300,100,0.491975
800,300,100,0.492619
800,300,100,0.488675
800,300,100,0.489067
800,300,100,0.50386
800,300,100,0.491208
800,300,100,0.492009
800,300,100,0.495991
800,300,100,0.48669
800,300,100,0.496346
800,300,100,0.495217
800,300,100,0.490546
800,300,100,0.490969
800,300,100,0.496334
800,300,100,0.490301
800,300,100,0.494793
800,300,100,0.494659
800,300,100,0.497131
800,300,100,0.490548
800,300,100,0.527521
800,300,100,0.495456
800,300,100,0.491369
800,300,100,0.498855
800,300,100,0.492976
800,300,100,0.49156300000000003
800,300,100,0.489268
800,300,100,0.523226
800,300,100,0.488823
800,300,100,0.5019
800,300,100,0.48844
800,300,100,0.496333
800,300,100,0.494063
