b,r,c,Time
2400,1000,200,9.55794
2400,1000,200,9.526765
2400,1000,200,9.470396
2400,1000,200,9.499036
2400,1000,200,9.593895
2400,1000,200,9.496345
2400,1000,200,9.5884
2400,1000,200,9.512967
2400,1000,200,9.488247
2400,1000,200,9.587849
2400,1000,200,9.496307
2400,1000,200,9.48584
2400,1000,200,9.52313
2400,1000,200,9.544712
2400,1000,200,9.467826
2400,1000,200,9.503024
2400,1000,200,9.493786
2400,1000,200,9.499806
2400,1000,200,9.54561
2400,1000,200,9.49658
2400,1000,200,9.472388
2400,1000,200,9.49909
2400,1000,200,9.486825
2400,1000,200,9.492502
2400,1000,200,9.501814
2400,1000,200,9.527728
2400,1000,200,9.498153
2400,1000,200,9.475999
2400,1000,200,9.553372
2400,1000,200,9.497954
2400,1000,200,9.49506
2400,1000,200,9.460152
2400,1000,200,9.481033
2400,1000,200,9.487351
2400,1000,200,9.487055
2400,1000,200,9.465037
2400,1000,200,9.471081
2400,1000,200,9.482609
2400,1000,200,9.481541
2400,1000,200,9.459854
2400,1000,200,9.566718
2400,1000,200,9.478905
2400,1000,200,9.477105
2400,1000,200,9.479404
2400,1000,200,9.519106
2400,1000,200,9.486422
2400,1000,200,10.314437
2400,1000,200,9.504423
2400,1000,200,9.491604
2400,1000,200,9.511887
2400,1000,200,9.494663
2400,1000,200,9.501828
2400,1000,200,9.524137
2400,1000,200,9.486548
2400,1000,200,9.479693
2400,1000,200,9.524393
2400,1000,200,9.524529
2400,1000,200,9.494807
2400,1000,200,9.532226
2400,1000,200,9.540811
2400,1000,200,9.492211
2400,1000,200,9.492147
2400,1000,200,9.50404
2400,1000,200,9.495483
2400,1000,200,9.615863
2400,1000,200,9.497116
2400,1000,200,9.483842
2400,1000,200,9.559391
2400,1000,200,9.485905
2400,1000,200,9.498624
2400,1000,200,9.580816
2400,1000,200,9.514083
2400,1000,200,9.46423
2400,1000,200,9.50231
2400,1000,200,9.543183
2400,1000,200,9.585967
2400,1000,200,9.589494
2400,1000,200,9.519983
2400,1000,200,9.5794530000000009
2400,1000,200,9.466044
2400,1000,200,9.57893
2400,1000,200,9.556946
2400,1000,200,9.51066
2400,1000,200,9.472441
2400,1000,200,9.573772
2400,1000,200,9.547356
2400,1000,200,9.508313
2400,1000,200,9.4785990000000009
2400,1000,200,9.472203
2400,1000,200,9.494916
2400,1000,200,9.489258
2400,1000,200,9.489548
2400,1000,200,9.520067
2400,1000,200,9.499983
2400,1000,200,9.498146
2400,1000,200,9.564683
2400,1000,200,9.490177
2400,1000,200,9.49518
2400,1000,200,9.480731
2400,1000,200,9.564037
