b,r,c,Time
2400,100,100,0.492009
2400,100,100,0.492121
2400,100,100,0.495742
2400,100,100,0.495173
2400,100,100,0.508457
2400,100,100,0.490672
2400,100,100,0.488554
2400,100,100,0.502269
2400,100,100,0.493445
2400,100,100,0.495279
2400,100,100,0.489413
2400,100,100,0.489691
2400,100,100,0.48989
2400,100,100,0.490622
2400,100,100,0.49127
2400,100,100,0.491173
2400,100,100,0.493593
2400,100,100,0.490891
2400,100,100,0.497523
2400,100,100,0.4961
2400,100,100,0.49089
2400,100,100,0.493648
2400,100,100,0.494501
2400,100,100,0.509431
2400,100,100,0.49304
2400,100,100,0.494194
2400,100,100,0.491613
2400,100,100,0.492018
2400,100,100,0.492482
2400,100,100,0.490193
2400,100,100,0.496358
2400,100,100,0.494436
2400,100,100,0.490595
2400,100,100,0.503967
2400,100,100,0.492962
2400,100,100,0.492504
2400,100,100,0.496368
2400,100,100,0.4966
2400,100,100,0.49747
2400,100,100,0.49448
2400,100,100,0.499009
2400,100,100,0.497123
2400,100,100,0.492201
2400,100,100,0.495714
2400,100,100,0.506164
2400,100,100,0.49603
2400,100,100,0.490618
2400,100,100,0.501687
2400,100,100,0.503623
2400,100,100,0.49284
2400,100,100,0.506399
2400,100,100,0.493781
2400,100,100,0.493634
2400,100,100,0.507305
2400,100,100,0.498002
2400,100,100,0.510536
2400,100,100,0.49525
2400,100,100,0.502269
2400,100,100,0.48858
2400,100,100,0.49259
2400,100,100,0.492186
2400,100,100,0.492961
2400,100,100,0.518688
2400,100,100,0.490921
2400,100,100,0.490456
2400,100,100,0.491435
2400,100,100,0.492165
2400,100,100,0.492632
2400,100,100,0.493104
2400,100,100,0.494711
2400,100,100,0.494589
2400,100,100,0.507311
2400,100,100,0.497322
2400,100,100,0.546027
2400,100,100,0.494609
2400,100,100,0.493779
2400,100,100,0.489136
2400,100,100,0.491848
2400,100,100,0.490059
2400,100,100,0.491589
2400,100,100,0.495782
2400,100,100,0.495857
2400,100,100,0.488498
2400,100,100,0.496538
2400,100,100,0.494672
2400,100,100,0.493303
2400,100,100,0.494157
2400,100,100,0.495631
2400,100,100,0.497788
2400,100,100,0.490493
2400,100,100,0.500002
2400,100,100,0.497671
2400,100,100,0.493997
2400,100,100,0.494732
2400,100,100,0.489722
2400,100,100,0.492784
2400,100,100,0.492693
2400,100,100,0.495159
2400,100,100,0.494675
2400,100,100,0.491699
