b,r,c,Time
2400,1000,400,19.280827
2400,1000,400,19.158976
2400,1000,400,19.133271
2400,1000,400,19.226482
2400,1000,400,19.209006
2400,1000,400,19.199985
2400,1000,400,19.311446
2400,1000,400,19.220481
2400,1000,400,19.279493
2400,1000,400,19.229636
2400,1000,400,19.351096
2400,1000,400,19.233894
2400,1000,400,19.258881
2400,1000,400,19.191467
2400,1000,400,19.206155
2400,1000,400,19.204798
2400,1000,400,19.251121
2400,1000,400,19.318758
2400,1000,400,19.221733
2400,1000,400,19.365224
2400,1000,400,19.234885
2400,1000,400,19.200586
2400,1000,400,19.282973
2400,1000,400,19.35284
2400,1000,400,19.25881
2400,1000,400,19.242539
2400,1000,400,19.222802
2400,1000,400,19.409659
2400,1000,400,19.280256
2400,1000,400,19.254733
2400,1000,400,19.205649
2400,1000,400,19.194999
2400,1000,400,19.275988
2400,1000,400,19.325865
2400,1000,400,19.267428
2400,1000,400,19.248724
2400,1000,400,19.367529
2400,1000,400,19.212789
2400,1000,400,19.298253
2400,1000,400,19.234904
2400,1000,400,19.216429
2400,1000,400,19.302721
2400,1000,400,19.23665
2400,1000,400,19.341379
2400,1000,400,19.194992
2400,1000,400,19.374771
2400,1000,400,19.225668
2400,1000,400,19.193086
2400,1000,400,19.227837
2400,1000,400,19.144314
2400,1000,400,19.250378
2400,1000,400,19.226423
2400,1000,400,19.153293
2400,1000,400,19.349901
2400,1000,400,19.213839
2400,1000,400,19.355308
2400,1000,400,20.760938
2400,1000,400,19.221223
2400,1000,400,19.314899
2400,1000,400,19.381075
2400,1000,400,19.329969
2400,1000,400,19.145043
2400,1000,400,19.26483
2400,1000,400,19.248332
2400,1000,400,19.243213
2400,1000,400,19.247985
2400,1000,400,19.358633
2400,1000,400,19.318007
2400,1000,400,19.372697
2400,1000,400,19.337345
2400,1000,400,19.266473
2400,1000,400,19.201569
2400,1000,400,19.356505
2400,1000,400,19.286969
2400,1000,400,19.316188
2400,1000,400,19.26501
2400,1000,400,19.250186
2400,1000,400,19.259366
2400,1000,400,19.304881
2400,1000,400,19.204209
2400,1000,400,19.299531
2400,1000,400,19.211036
2400,1000,400,19.336123
2400,1000,400,19.246459
2400,1000,400,19.173165
2400,1000,400,19.215891
2400,1000,400,19.180939
2400,1000,400,19.394007
2400,1000,400,19.258992
2400,1000,400,19.245605
2400,1000,400,21.548408
2400,1000,400,19.266222
2400,1000,400,19.291124
2400,1000,400,19.248555
2400,1000,400,19.219189
2400,1000,400,19.242264
2400,1000,400,19.330838
2400,1000,400,19.334758
2400,1000,400,19.258922
2400,1000,400,19.218452
