b,r,c,Time
2400,1000,300,14.240219
2400,1000,300,14.442658
2400,1000,300,14.372239
2400,1000,300,14.50017
2400,1000,300,14.432765
2400,1000,300,14.544112
2400,1000,300,14.474333
2400,1000,300,14.453753
2400,1000,300,14.460104
2400,1000,300,14.448525
2400,1000,300,14.534331
2400,1000,300,14.424651
2400,1000,300,14.405703
2400,1000,300,14.395788
2400,1000,300,14.479906
2400,1000,300,14.495745
2400,1000,300,14.446907
2400,1000,300,14.421835
2400,1000,300,14.476703
2400,1000,300,14.436786
2400,1000,300,14.435485
2400,1000,300,14.412179
2400,1000,300,14.434065
2400,1000,300,14.390441
2400,1000,300,14.403312
2400,1000,300,14.445585
2400,1000,300,14.489538
2400,1000,300,14.453139
2400,1000,300,14.464189
2400,1000,300,14.484596
2400,1000,300,14.545363
2400,1000,300,14.469461
2400,1000,300,14.440478
2400,1000,300,14.427261
2400,1000,300,14.472198
2400,1000,300,14.459811
2400,1000,300,14.442921
2400,1000,300,14.463256
2400,1000,300,14.412484
2400,1000,300,14.428895
2400,1000,300,14.429612
2400,1000,300,14.420262
2400,1000,300,14.515262
2400,1000,300,14.424566
2400,1000,300,14.402691
2400,1000,300,14.430447
2400,1000,300,14.458184
2400,1000,300,14.407447
2400,1000,300,14.46818
2400,1000,300,14.419811
2400,1000,300,17.061957
2400,1000,300,14.431804
2400,1000,300,16.187791
2400,1000,300,14.412655
2400,1000,300,14.430467
2400,1000,300,14.493548
2400,1000,300,14.442562
2400,1000,300,14.479496
2400,1000,300,14.424265
2400,1000,300,14.537899
2400,1000,300,14.400279
2400,1000,300,14.466975
2400,1000,300,14.432302
2400,1000,300,14.421966
2400,1000,300,14.450499
2400,1000,300,14.506373
2400,1000,300,14.412524
2400,1000,300,14.534752
2400,1000,300,14.427896
2400,1000,300,14.523524
2400,1000,300,14.429071
2400,1000,300,14.452373
2400,1000,300,14.476402
2400,1000,300,14.441456
2400,1000,300,14.463108
2400,1000,300,14.510917
2400,1000,300,14.415272
2400,1000,300,14.513139
2400,1000,300,14.524436
2400,1000,300,14.427831
2400,1000,300,14.497543
2400,1000,300,14.435442
2400,1000,300,15.347224
2400,1000,300,14.445512
2400,1000,300,14.458561
2400,1000,300,14.462345
2400,1000,300,14.397687
2400,1000,300,14.897341
2400,1000,300,14.541634
2400,1000,300,14.404726
2400,1000,300,14.443769
2400,1000,300,14.40898
2400,1000,300,14.530442
2400,1000,300,14.487008
2400,1000,300,14.440647
2400,1000,300,14.468908
2400,1000,300,14.468241
2400,1000,300,14.441254
2400,1000,300,14.483938
2400,1000,300,14.52296
