Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
0.016625247,0.016625247,0.015240865,0.015240865,121999.999902,103.938305398
0.01616313,0.01616313,0.015225651,0.015225651,20000,106.909985875
0.016124705,0.016124705,0.015240848,0.015240848,4259.25925793,107.164751231
0.016108162,0.016108162,0.015224512,0.015224512,1265.43209842,107.274808883
0.016084227,0.016084227,0.015232315,0.015232315,518.261316864,107.434444938
0.016066097,0.016066097,0.015218671,0.015218671,267.021350991,107.555680761
0.016078761,0.016078761,0.015220207,0.015220207,158.939988847,107.470967446
0.016083532,0.016083532,0.015235144,0.015235144,103.782429902,107.439087385
0.016064333,0.016064333,0.015215821,0.015215821,72.2226330342,107.567491286
0.016058828,0.016058828,0.015219789,0.015219789,52.6618987016,107.604365649
