Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
0.004521964,0.004521108,0.00381895,0.003831593,121999.999902,382.134842294
0.004328392,0.004327873,0.003815073,0.003821314,20000,399.224469503
0.004284112,0.00428388,0.00380777,0.003816815,4259.25925793,403.350799419
0.004256998,0.004256668,0.003805656,0.003812301,1265.43209842,405.919852441
0.004273964,0.004273413,0.003806048,0.003828527,518.261316865,404.308506108
0.004231066,0.004230834,0.003806306,0.003818029,267.021350991,408.407715692
0.004229641,0.004229304,0.003802579,0.003809624,158.939988846,408.545311529
0.004202613,0.004202343,0.003807065,0.003818172,103.782429902,411.172763231
0.004223067,0.00422277,0.003806545,0.003830143,72.2226330342,409.181289333
0.004191767,0.004191491,0.003802649,0.003810598,52.6618987014,412.236653421
