Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
0.003546239,0.001649148,0.001260694,0.001270164,121999.999902,487.276802269
0.00154259,0.001541437,0.001256429,0.00125999,20000,1120.19395951
0.002677401,0.001536107,0.001256723,0.001261325,4259.25925793,645.402014864
0.00151734,0.00151449,0.001256491,0.001261523,1265.43209842,1138.83506663
0.001500344,0.001498131,0.001261502,0.001264255,518.261316865,1151.73586857
0.001488306,0.001486031,0.001255899,0.001260246,267.021350991,1161.05155795
0.001487264,0.001486024,0.001256813,0.001260693,158.939988846,1161.8650085
0.001489317,0.001488388,0.001260434,0.001265388,103.782429902,1160.26339591
0.001476404,0.001475543,0.001257,0.001259924,72.2226330342,1170.41135082
0.001471843,0.001470717,0.001256366,0.001258519,52.6618987015,1174.03826359
