Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
0.003800816,0.002359774,0.00189405,0.001898602,121999.999902,454.639214316
0.002249756,0.002247811,0.001887729,0.001892962,20000,768.083294366
0.002224798,0.002224195,0.001886107,0.001890327,4259.25925793,776.699727346
0.002206217,0.00220509,0.001888369,0.001894229,1265.43209842,783.241177092
0.00220329,0.002202752,0.001888543,0.001893367,518.261316865,784.28168784
0.002202076,0.00220152,0.001887555,0.001893817,267.021350991,784.714060732
0.002193096,0.002192623,0.001886283,0.00188924,158.939988846,787.927204281
0.002191564,0.002190938,0.001882966,0.001884376,103.782429902,788.478000186
0.002177384,0.002176694,0.001886545,0.00188934,72.2226330342,793.612885922
0.002144379,0.002143557,0.001887033,0.001889024,52.6618987015,805.827701167
