Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
0.00523961,0.005201818,0.001259458,0.001269716,121999.999902,329.795538218
0.001537617,0.00153709,0.001256984,0.00127154,20000,1123.8169193
0.001513964,0.0015110430000000001,0.001257537,0.001269511,4259.25925793,1141.37456373
0.00151328,0.001508028,0.001256489,0.001267086,1265.43209842,1141.8904631
0.001488587,0.001487669,0.001257596,0.001267417,518.261316865,1160.83238669
0.001478125,0.001476063,0.001256196,0.001269893,267.021350991,1169.04862579
0.001475881,0.00147352,0.001256776,0.001263652,158.939988846,1170.82610319
0.001475792,0.001473279,0.001256361,0.001264318,103.782429902,1170.89671173
0.001473179,0.001470748,0.001256851,0.001263877,72.2226330342,1172.97354904
0.001470363,0.00146844,0.001257138,0.001267088,52.6618987015,1175.21999669
