Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
0.072089009,0.067837341,0.020320146,0.020610359,1927999.99846,1534.10348587
0.022952681,0.022939588,0.020294272,0.02068131,320000,4818.26066419
0.022913097,0.022899863,0.020279396,0.020588624,68148.1481269,4826.58455118
0.022897334,0.022889662,0.02028112,0.020592791,20246.9135747,4829.90727217
0.022882411,0.022876242,0.020290278,0.020624007,8292.18106982,4833.05714594
0.022881996,0.022875184,0.020284046,0.020577728,4272.34161585,4833.14480083
0.022880164,0.022868936,0.020286841,0.020613611,2543.03982154,4833.53178762
0.022867138,0.022862333,0.020291517,0.020582589,1660.51887844,4836.28515296
0.022873037,0.022863993,0.020283161,0.020580051,1155.56212855,4835.03786576
0.024093672,0.022848099,0.020291628,0.020597038,842.590379223,4590.08489864
