Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
0.252125594,0.252083276,0.241631215,0.242149662,1927999.99845,438.638530287
0.251111057,0.251110699,0.241595281,0.242126574,320000,440.410714372
0.251099522,0.25109896,0.241598807,0.242138797,68148.1481277,440.430945942
0.251132654,0.251131981,0.241630591,0.242137799,20246.9135744,440.372839766
0.251105171,0.251104138,0.241596406,0.242142086,8292.18107001,440.421037765
0.251158786,0.251158245,0.241580528,0.242177204,4272.34161585,440.327020851
0.251096831,0.251092671,0.241618563,0.242132604,2543.03982152,440.435666032
0.251119271,0.251119002,0.241593583,0.242130902,1660.51887844,440.396308733
0.251100321,0.251099793,0.241543732,0.242126197,1155.56212855,440.429544493
0.251116755,0.251115975,0.241551461,0.242130604,842.59037924,440.400721171
