Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
0.132903022,0.131730053,0.121510125,0.121814593,1927999.99846,832.125547905
0.129197123,0.129194972,0.12148775,0.121799448,320000,855.994293309
0.129190303,0.129189132,0.121495271,0.121781036,68148.148127,856.039481539
0.129142858,0.129140847,0.121491246,0.121782294,20246.9135747,856.353976617
0.129188079,0.12918688,0.121486388,0.121776724,8292.18106995,856.054218439
0.129219636,0.129218928,0.121476658,0.121818182,4272.34161588,855.845159632
0.129168572,0.129166858,0.121452097,0.121774008,2543.03982156,856.183499497
0.129147824,0.129145652,0.121496291,0.121786735,1660.51887844,856.321048042
0.129212164,0.129211026,0.121459045,0.121803602,1155.56212855,855.894650909
0.129186674,0.129185267,0.121475047,0.12178761,842.590379223,856.063528658
