Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
1.954850987,1.954843001,1.882032871,1.904294775,12019999.9905,883.95484438
1.952669847,1.952666175,1.882239245,1.903919712,1999999.99999,884.942225464
1.95303003,1.953028467,1.882004945,1.90428846,425925.925796,884.779022061
1.952990779,1.952988131,1.882141076,1.904241987,126543.209849,884.796804256
1.952758432,1.952756991,1.881935982,1.904064105,51826.1316872,884.902080914
1.953093946,1.953090921,1.882283568,1.904303158,26702.1350985,884.750067215
1.952702175,1.952700114,1.881880964,1.904013671,15893.9988845,884.927574785
1.952795273,1.95279259,1.882113282,1.904071389,10378.2429902,884.885386549
1.952908945,1.952906412,1.881998234,1.904151064,7222.26330355,884.833880465
1.952716174,1.952714035,1.882187978,1.903985256,5266.1898701,884.921230749
