Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
0.38001105,0.374458253,0.31444094,0.320872335,12019999.9904,4547.23619221
0.346677359,0.345900704,0.314221321,0.322774832,2000000,4984.46164752
0.339774567,0.339764125,0.314274864,0.322775367,425925.925798,5085.72497129
0.339743449,0.339727529,0.314136675,0.322763463,126543.209841,5086.19078627
0.339715481,0.339709591,0.314260176,0.322723169,51826.1316875,5086.60952075
0.345527027,0.345513325,0.314186361,0.328128542,26702.1350991,5001.0559666
0.339792857,0.339776471,0.31444636,0.32277331,15893.9988846,5085.45122242
0.339915231,0.339909196,0.314501918,0.322898884,10378.2429903,5083.6203924
0.339886037,0.339668164,0.314714379,0.322885506,7222.26330344,5084.05704233
0.345939624,0.345924441,0.314566747,0.328641434,5266.18987019,4995.09128217
