Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
1.294913604,1.293776724,1.254471329,1.258635008,12019999.9905,1334.4519624
1.293263566,1.293257076,1.254475355,1.258563909,1999999.99999,1336.1545515
1.29332736,1.293321819,1.254651344,1.258663873,425925.925796,1336.08864503
1.293170636,1.293154621,1.254481822,1.258565744,126543.209847,1336.25057042
1.293315938,1.293304598,1.254505998,1.258671125,51826.1316865,1336.10044478
1.29316704,1.293162325,1.254405636,1.258508508,26702.1350983,1336.25428622
1.293167457,1.293163157,1.254496772,1.258525895,15893.9988843,1336.25385533
1.293163296,1.293148514,1.254520057,1.258514865,10378.2429902,1336.25815498
1.293079089,1.29306993,1.254451523,1.258443771,7222.2633036,1336.34517386
1.293269548,1.293261338,1.254493224,1.258629544,5266.18987001,1336.14837114
