Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
1.935323169,1.933052306,1.880961543,1.88303232,12019999.9905,892.874134759
1.931076655,1.931074581,1.881004618,1.883213027,1999999.99999,894.837600323
1.930947997,1.930945629,1.880784833,1.883078187,425925.925796,894.897222859
1.931103808,1.931101936,1.881050484,1.883245209,126543.209849,894.825018128
1.930915904,1.930914223,1.880733834,1.883038662,51826.1316872,894.912096596
1.931247792,1.931246548,1.881034992,1.88339122,26702.1350985,894.758304531
1.930871386,1.930868334,1.880874628,1.883039832,15893.9988845,894.932729611
1.931117127,1.931114211,1.881118848,1.883268944,10378.2429902,894.81884648
1.930949567,1.93094766,1.880951341,1.883043467,7222.26330355,894.896495243
1.931069671,1.931067256,1.880955331,1.883152552,5266.1898701,894.840836636
